LOCATION,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.501700432519,111.248047118488,102.823317729704,96.0464567326582,91.8108709791517,100.0,95.2794519972174,93.3774451510388,94.2027310280319,96.1441118682514,,,,,,,
ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5868746305,109.159612430847,109.853506030208,104.872827129218,104.124478870991,95.3102388307687,88.2690920645774,92.2177244151921,85.770759643278,82.9059396880061,79.4769317326182,75.3296511641308,70.4407518848859,73.3275187085494,77.5833177839594,86.8109147921359,90.9791377893233,91.1964081248211,94.5254362253027,96.913362861332,100.0,104.557163424743,,,,,
ITA,,,,,,,,,,,108.028711341525,101.868101038458,96.0897413079661,92.5928108999421,124.747333611798,116.358069577711,116.100192418756,111.606353019199,108.304517801081,113.313255092366,112.433809527301,124.426679166635,119.177995375365,104.513226692351,90.7500348313926,79.1436206836968,76.2039464695429,75.9058948451617,77.1272450362658,92.285955121078,103.285314184716,104.631827041733,105.162711106111,104.429713346053,96.761864452462,91.6468794420165,84.0734536557388,78.5280868095338,79.6184355263767,81.7121167266645,84.9981543929827,87.7739347983239,92.8338706824825,99.5414845572481,106.293003431379,112.170610864746,115.658331979302,118.176480518382,119.3742606044,118.872384895231,119.267783262614,118.351055034146,119.402450635404,111.349725357997,105.393488602133,100.0,98.7488479440345,95.498847784986,93.0985979937942,92.1213846890154,95.77327296731,94.1830037780284
JPN,137.708492135685,161.917761704129,172.404864792458,172.382977944313,172.029858679058,171.16425060313,162.280671885508,162.808963668864,164.395571728799,174.388774728401,182.971176003625,189.307590352726,194.332050790118,212.289182940159,195.115413595112,164.723417259662,150.427655794856,144.763168496006,141.749694423152,147.327668432342,155.157570897288,160.582624801693,164.736240608025,166.025302638192,163.935673778135,160.734718163005,160.887314504336,169.155074702619,168.880019123559,170.595084923054,180.619829647385,177.049477110019,166.495682609905,158.05528962995,152.084784568805,147.85994077087,145.221284727374,140.218598817284,137.332762445558,134.919340918727,131.581585412673,130.862990211269,125.455961990235,119.35475346194,110.982904138826,104.622235545096,100.065756594071,98.4368812394288,99.6588695109308,95.5577528134395,97.158989741013,97.7254610771284,96.3920632516381,97.7191780717783,99.0931846663333,100.0,101.032123170144,102.39607352098,103.090982002659,102.918886692647,98.0938668073843,106.999658905246
KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,376.06766917302,324.246738272729,319.398710026537,321.078023227625,319.631859506601,285.736308713225,236.088954614141,205.543103724578,174.22804462164,155.928676668879,139.697795894304,134.420965064049,119.555874385077,113.40615047778,110.653867861726,108.35135583023,117.819340632398,122.168356399815,114.629330034686,111.000074946243,113.749018168657,118.552653025036,120.2232848353,117.779028281528,113.961627934846,113.947582384563,111.379019483841,105.457142455114,103.450872289841,100.0,99.6474106136251,97.8035744306383,95.5394772105315,92.6621941825135,92.367388934425,104.611523450301
LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.772294242293,175.819627114201,159.093635527808,119.542769850166,107.167172387422,106.431968284241,100.357919124168,96.2244790392328,100.320357856285,100.0,96.6706945163917,99.4433458372965,99.2587628349339,96.9683423239155,95.8911745613729,106.754561821325
LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.1560958296877,86.6988002187294,84.9348130913968,87.9031268963173,88.867356057148,90.232253803457,91.4597203685356,94.5582887984419,100.0,106.03084570287,106.931915435858,111.92142237961,118.907164594032,129.809495741262,146.613456705893
LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.802846740987,177.823930812581,150.781602379768,112.140230629011,105.329756935422,114.971110631475,109.23758942863,112.033534378059,110.44531476284,100.0,101.584734010665,103.672713541318,104.870279978201,107.69371334689,108.03740111938,106.185841235446
NLD,,,,,,,,,,,,,,,,,,,,,83.086543143744,71.5385084564775,60.9638084495753,61.5839934395047,58.6878659757538,56.4629837610833,57.7733613353426,60.0698760521242,62.0166081034703,61.8185714589,58.2426385350518,59.4587323516184,60.9503075502377,66.532729907396,71.4796493786661,73.82643207242,78.5422935072468,82.7214774083791,87.1930380535673,97.3284661369986,109.772382179582,111.972295592197,116.78903351635,120.372758707994,123.848839882127,127.148543439315,127.202285787176,128.397480441234,127.676416744948,123.252096978474,120.039175684956,115.104242838598,106.610914912728,99.4451183037941,98.0020077073029,100.0,102.659816363848,108.48397078937,113.867127246338,117.039022046711,122.145453115364,133.859272727504
NOR,,,,,,,,,,,,,,,,,,,72.8047243788494,72.4093270079937,70.8381390290673,67.3848955122948,66.3090083946535,64.736197494724,67.3538491370791,75.5884483537766,91.239471731999,91.5812594158046,89.7665068361685,78.9602905954886,68.8917125661394,60.7053159641326,54.4022486556824,51.7870115610101,56.9748892420189,58.4406672456548,60.849222732111,64.3116421145878,66.29674315003,70.6666644646307,77.2369833825919,81.6460767442562,78.4535481884623,74.5733480225785,79.0381275711615,78.7330819605902,94.7596855503126,100.703760999642,94.4870488003345,91.9679800561312,96.0066328862738,99.5817464310409,102.094992345025,101.29141511295,100.61328774734,100.0,106.411882804933,108.265648649361,107.114800086385,105.835114948749,106.935260795873,113.283446866373
NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9413599856132,48.7679930725569,51.333105748631,51.5524182315416,52.6771046233622,50.5043541019633,52.5864139951026,54.0160376119667,60.1295225965036,61.5221330941323,64.2408992964539,65.5442719591801,62.5558732978001,59.3885703159262,60.6485539549512,58.4704402881014,64.2632796450455,71.2625046326462,79.7419599444569,87.7517905687341,91.2527211857222,94.2727865480872,90.0969317409153,84.5538803981076,83.0498951501296,79.2094702422945,81.5197018054182,86.7244448507246,92.5531412448194,100.0,108.844546248084,111.528819134277,110.245052498465,108.454474985423,112.846569860184,136.88928365966
OECD,,,,,,,,,,,,119.156470495423,118.473783868995,121.062999781154,124.677572333333,117.244967427663,114.378237979515,114.855501149702,113.903070702374,117.504949790248,117.773954678454,116.582797380335,112.471216399909,109.432189033701,104.199664832182,102.431131864697,103.561600102444,106.9618549787,109.132602244183,111.975983972685,111.270955449541,108.89646890611,104.276935855686,102.054949403373,100.87249933704,98.008445039434,95.9041193477203,94.5252453292117,94.1937374932299,95.6566066531923,96.6002524219014,98.0419947693836,101.30130752031,104.722003603245,107.309027142075,111.363189534888,113.181031512013,113.37707146367,107.533165054754,103.15546719078,101.386165850084,98.0282565866534,96.3738090114051,98.3826309036654,98.9109953467278,100.0,102.879679593001,104.986782712146,105.984467331511,106.341123464543,108.304001704927,117.631367484644
POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7331088596584,123.741657557871,172.50940539889,157.532576608649,140.85869732449,126.45979257984,122.056364991695,111.360190511186,105.341067083307,100.959003621115,100.0,96.8257805555252,95.2396626064473,96.047412245429,97.6439411070129,100.050466231473,107.055454956346
PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.388529630443,137.207176016645,134.318838977306,129.290598451184,131.757241833145,134.570038722703,135.864935497787,131.360292670759,130.103493880856,126.955766132899,124.940026873272,123.997263252749,119.139964501978,107.608772772888,107.283699850671,106.622277645329,103.620313809134,98.305026594798,96.7668006088286,100.861764825097,100.0,103.080643378662,109.370117317184,115.931169041584,122.079893634075,134.943901743229,141.947030904089
ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.606947129266,152.976352168336,131.653258280132,119.95726465479,111.857907678537,105.870559167927,100.0,96.7776886619764,89.1830239490595,85.3283503539838,77.3863428714753,75.787836992188,81.340630244866
RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.284635587437,191.683114152053,194.813356942969,180.280250437099,189.522925836909,214.310231927374,206.836433373997,182.659708818701,156.35773625272,121.764937573355,116.012786529367,111.495263447664,104.100573233943,100.0,98.0786690879022,98.0952789175803,100.609276448396,97.7146681791964,,
SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.855800389924,109.732791128485,126.705309966573,134.857480452903,115.876163629892,107.62081396796,105.253933941511,99.8494066388341,100.611278066816,99.8747278803383,100.0,103.568733316732,104.672325386236,102.834472442418,107.281316504877,114.80489170013,119.066322158929
SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.539010868067,130.105240677262,119.007217951059,118.531012000604,119.619645456667,114.674595667489,108.888483420948,100.795870258473,100.0,98.8278077612321,102.031249978351,104.452326111133,105.721778861297,107.15509026056,110.96805283328
SWE,,,,,,,,,,,90.1441723546449,88.1349566207406,87.9124872085715,84.2760771232656,78.769241726388,81.5663675541019,83.3192919973226,85.7169150911074,87.7453577155445,89.3021169026244,81.7580330202999,77.468887517881,72.1079601554443,65.4213873665596,61.9476141524776,59.1354800780458,58.1219753060261,61.382535638547,68.7768615472338,74.9153182244966,74.5108250357749,68.0363852314994,58.5897152185134,50.7034033459989,52.1156352255775,50.7443541810023,51.1713708898397,54.1501105434091,57.8380320869631,60.3356020734015,63.3565652062521,63.2223218627724,64.335213125903,66.9661362969123,72.2048292558057,75.9649407186877,80.9606342689114,85.4435167854762,81.9761389212875,82.2749729326276,85.7226227229907,84.3346165127315,82.1060091431251,84.8348580088796,90.8292033544698,100.0,104.946955642156,109.283305404302,104.727987957115,103.773331129707,108.385930189225,114.335168516072
USA,,,,,,,,,,,128.62700152792,129.032582025858,129.047511532647,130.076283284793,131.17309786415,126.870224345334,124.714116889063,127.154405684601,130.401330030924,134.637088527244,132.031447166361,126.1946845662,122.047470952769,118.706714410215,113.004314759591,113.73513012929,116.683553916877,120.390430636145,118.643356555276,117.978723943137,114.981766714095,113.002025748807,109.474479329716,108.913163559423,108.66543861451,107.175668037212,106.083986011766,104.800606945429,104.152714079487,106.631325354369,107.079405108481,110.373821764105,113.830604558268,117.859102451964,122.936089766061,131.61958167965,131.9135428136,126.998026127006,112.649877191831,107.060646393784,100.60623556369,92.5250751709995,90.9262820760708,97.8672489460667,98.2002308290092,100.0,103.442750702802,105.744638608431,107.122402680985,107.741346434855,108.14565174965,119.350290554587
ZAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.6123360922776,65.9823522826222,66.5145215972927,69.987956790527,68.1229739923801,72.0269068069682,75.6403291700425,76.749563070905,84.4985658977897,100.800794254302,119.567335215008,128.945884974162,132.760531722344,122.515016442037,112.647361729808,108.481694992582,102.421877612968,99.5394925215204,99.3503460670601,101.192353094197,100.0,101.488742777649,100.191012514964,99.8557279749914,100.082230322056,,
