,Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Aruba,5.55555555555579,3.87337536996478,5.21555996035712,6.3110797127044,3.36139107320895,3.22528797213981,2.99994809778411,1.8694885361554,2.28037198258756,4.04402131190514,2.8836043031626,3.31524678585428,3.65636507938414,2.52912946932762,3.39778677828806,3.60802438784541,5.39256784475512,8.9559870517779,-2.13542872046934,2.07814071860782,4.31629742195207,0.627471992893334,-2.37206524252253,0.42144091888116,0.474763597342612,-0.931195987079616,-1.02828178762002,3.62604141352956,4.25746204335428,,
1,Africa Eastern and Southern,17.6781002638522,16.1676123963339,13.1356607683724,14.852814983397,12.2885912601426,9.70658632526506,10.2495987403067,7.49525600695578,7.81986477630863,8.6014851485149,5.84035398311558,8.76375366426173,7.44970014007364,5.02342068616284,8.55803802239772,8.89816380214033,8.45077480634995,12.5666446595157,8.95421802392944,5.53753791645677,8.97120640995792,9.15870715471667,5.75098133352462,5.37028961008588,5.25017086354882,6.57139642173959,6.39934341569383,4.720811388773,4.12024587014984,6.36296055300016,6.07932754164423
2,Afghanistan,,,,,,,,,,,,,,,12.6862687216715,6.78459655001657,8.68057078513406,26.4186641547444,-6.81116108898995,2.1785375238942,11.8041858089129,6.44121280934118,7.38577178397857,4.67399603536339,-0.661709164713696,4.38389195513914,4.9759515055383,0.626149149168811,2.30237251516844,,
3,Africa Western and Central,1.74188785932667,-0.0629990064786967,0.553455723541917,31.8410168416385,10.5632886691814,4.91423972637199,3.99714170439302,4.471125438511,0.372266170311917,2.53077516737993,4.36152914007253,3.18869330220589,1.76090410099629,0.694336305945748,5.63163351357613,4.41589984169562,3.60736767984596,8.45297623326756,3.2824403758932,1.78484420477114,4.01869907534491,4.57837463515945,2.43920076104128,1.7580519603779,2.13026806151513,1.49456366409864,1.76463495159564,1.78404994832044,1.75856517595659,2.43760882182242,3.83786802840503
4,Angola,17.85477,13.756052,14.411264,29.697231,17.678823,11.624178,8.597783,8.614832,6.02155,6.222522,5.973727,5.556985,5.980978,43.5421067519686,22.953513851394,13.3052101780031,12.2514974459487,12.4758291326398,13.7302839288409,14.4696564932576,13.4824679218512,10.2779049218839,8.77781429332618,7.28038730361125,9.35383972513758,30.6989578589225,29.8425777887099,19.6305943641961,17.0797044074954,22.2715643068877,25.7542656453085
5,Albania,,13.756052,14.411264,22.5650526933696,7.79321853789215,12.7254778087102,33.1802743753957,20.6428588670596,0.389437653561606,0.0500181363468233,3.10758827031435,7.77052583431551,0.484002611818484,2.28001916938099,2.36658195679796,2.37072831904283,2.93268248162319,3.32087090389268,2.2669220945083,3.62604695579817,3.42912324722164,2.03159268395298,1.93762080205227,1.62586504402607,3.50120835492656,-0.367317209784628,2.0605984592022,2.02805963071136,1.41109078954248,1.62088661717004,2.04147163139546
7,Arab World,9.00000000000004,9.35975158953137,9.37034415971456,5.11259890444316,6.5437906852417,4.68130623916412,3.60116103260948,3.417319489758,2.66937369053699,1.85379035325276,1.77220437351018,1.83299389002049,2.7125924747435,3.63228004956626,3.4936853461953,3.54498591605032,4.74390639021646,11.2706652380848,2.92089711805365,3.91106195534027,4.75316388885632,4.61184432206646,3.23810833914068,2.7735161312612,1.81407723937759,2.06884036053476,1.96682557818839,2.45814158007533,1.09184802655847,1.77740783806174,3.42362947609175
8,United Arab Emirates,,,,,,,,,,,,,,,,,,12.250420244814,1.56181317449067,0.877983288285896,0.877346595685083,0.662268900269082,1.10111836375706,2.34626865671643,4.06996608361598,1.61748808904192,1.96682557818839,3.06863379251994,-1.93108114782171,-2.0794031794094,
10,Armenia,,,,29.697231,17.678823,18.681185640036,13.960764121791,8.6724863238516,0.648245760470397,-0.790883768934766,3.14590464685019,1.06004929341667,4.72155336605342,6.96126135875792,0.638928002410126,2.89235662459002,4.40736089644519,8.94995335353386,3.40676682683799,8.17636138473956,7.6500080785929,2.55802007757907,5.78966778544654,2.98130868933673,3.73169119261695,-1.40360755900906,0.969553268816231,2.52023382001631,1.44344660770702,1.21143577838465,7.18483629443373
12,Antigua and Barbuda,,,,,,,,,1.12128789571148,0.771779796900182,1.40279663573984,2.40765801293492,1.99353055152456,2.03007757853236,2.09875196709306,1.78778537419119,1.4160525940974,5.33380639820237,-0.550159995508912,3.3700254022015,3.45674967234602,3.37688044338876,1.05949782356168,1.0894415743536,0.968993458825599,-0.489437796230513,2.43248789041366,1.20715793367003,1.43135598182989,0.625989707046698,2.06299638545331
13,Australia,3.17667536988686,1.01223112610711,1.75365344467641,1.96963479688142,4.62776659959758,2.61538461538462,0.224887556221881,0.860134629768157,1.48312940304038,4.45743514797225,4.4071353620147,2.98157453936349,2.73259596616783,2.34325522482587,2.69183168316831,3.55528773727028,2.32761128891476,4.35029854990047,1.77111716621252,2.91834002677376,3.30385015608744,1.76278015613193,2.44988864142539,2.48792270531403,1.50836672165921,1.27699094497328,1.94864740944522,1.91140094445692,1.61076787290379,0.846905537459293,2.86391042204995
14,Austria,3.3374270347479,4.02084780038555,3.63178524943182,2.95340936761076,2.24336631500904,1.86097115760431,1.30597857227694,0.92246719668082,0.568993765885587,2.34486285357277,2.65000077279529,1.81035787764132,1.35555370896445,2.06120618032866,2.29913785639285,1.44154851119019,2.16855528800755,3.21595033239883,0.506308827696486,1.81353438995065,3.28657914875376,2.48567562177017,2.00015616900603,1.60581182954471,0.896563335260302,0.891591752655335,2.08126911385587,1.99837981429546,1.53089564152645,1.38191063351859,2.76666666666665
15,Azerbaijan,,-10.6300971576201,14.411264,29.697231,17.678823,19.7948028061899,3.6743480968473,-0.772697886033187,-8.52517000536062,1.80500303704358,1.54719590152278,2.77116471998268,2.23386492967051,6.70893042797785,9.67950731917054,8.32892482863207,16.6997549618245,20.8490871772713,1.45704835970323,5.72687224669606,7.85833333333332,1.06621339720313,2.41571745279411,1.3734418153318,4.02768573742728,12.4433748584372,12.9359184187334,2.26854690374005,2.61057182799216,2.75980947008126,6.65029912708779
16,Burundi,8.99693873494325,1.8233333333331,9.67934658067928,14.852814983397,19.2632536382538,26.4367816091951,31.1115898319694,12.5004107653378,3.38542427340455,24.4320242102151,9.29618771341885,-1.36568005328061,10.6474645658306,8.17642937482059,13.2520699188223,2.74542000214246,8.41206285772541,24.4069510353914,10.5554355299529,6.49326591473996,9.59216605979671,18.1610453065451,7.93795807492412,4.4053523418529,5.54468891259786,5.55768961400965,16.0525353030392,-2.8146980766847,-0.686772170797229,7.32110643415513,8.4045384507634
17,Belgium,3.21531069260804,2.42795567164621,2.75442643473457,2.37754084476403,1.46796699090272,2.07702107350668,1.62816049512961,0.949250288350641,1.12084823417844,2.54451776190906,2.46925823086078,1.64521436175359,1.58896399970379,2.09728311239314,2.78143263670025,1.79120770070454,1.8230563002681,4.48944420508401,-0.0531456741253762,2.18929920422458,3.53208210722744,2.83966343445897,1.11309594027537,0.340002833356965,0.561429152790106,1.97385264653172,2.12597086002609,2.05316499865181,1.43681956996435,0.740791812220385,2.44024851144081
18,Benin,,,0.44059921493181,38.5308661668537,14.4625482180894,4.91423972637199,3.46629590564781,5.7533145841706,0.326722893396868,4.16540442290282,3.98429547767895,2.4891623549154,1.48724246145442,0.873890830868505,5.36452085832342,3.78217696540374,1.29806813334154,7.94729876067859,0.896072355749072,2.20783532536522,2.70423907747279,6.74468253340715,0.428888888888863,-0.548757550948147,0.218785923536177,-0.794050173906725,1.76941247391975,0.644803622440778,-0.70502663454275,3.02272119663756,1.73353962694033
19,Burkina Faso,2.16260052713424,-1.99113580736895,0.553455723541917,25.1778762249963,7.45884497828323,6.09780439121743,2.31869062176682,5.08433344145323,-1.07261362759535,-0.304212168486795,5.00743290822374,2.17569480664608,2.03456574053815,-0.400228702115475,6.41504018369687,2.33310856372217,-0.230627306273007,10.6597978997424,2.60817666368317,-0.764230734676734,2.7597672485453,3.81815240252386,0.533738507090537,-0.258089517535353,0.724838981070599,0.441041448058759,1.48299897161327,1.95594302672532,-3.23338933983321,1.88443993781985,3.65353287214207
20,Bangladesh,6.35736412278233,3.63407691798491,3.01481859989799,5.313740079365,10.2978117947205,2.37712902953225,5.30560105668804,8.4022379561323,6.10669589841957,2.20825620937534,2.00717374213842,3.33256493271908,5.66870773441478,7.58753638504692,7.04661816222037,6.76526117054756,9.10698496905385,8.90194489465155,5.42347236174678,8.12667639169919,11.3951651552399,6.21750422069283,7.53040640913171,6.99163889220854,6.19428022984988,5.5135257269299,5.70207015717245,5.5436213948647,5.59199639930633,5.6910747474621,5.54565430773474
21,Bulgaria,17.85477,13.756052,14.411264,29.697231,17.678823,11.624178,8.597783,18.6722044420641,2.57304281890204,10.3162621289989,7.36093927231849,5.81014365721823,2.34864169582755,6.1471307424627,5.03883807111907,7.26159462769947,8.40253419005894,12.3487195994021,2.75320223914816,2.43899060504117,4.21990346601875,2.95456829831017,0.890093540913032,-1.41818380264842,-0.104633261008417,-0.798649886453611,2.06159619443137,2.81454473824833,3.10372944796774,1.67244096855762,3.29774435299511
22,Bahrain,0.764419735927589,-0.172413793103325,2.53886010362698,0.816910897759777,2.70403475064702,-0.452227382530316,2.43155133955926,-0.366533864541796,-1.2875879718491,-0.704852953090768,-1.2075718015666,-0.495540138751172,1.59362549800788,2.35294117647061,2.58620689655173,2.00746965452849,3.25666666666702,3.52600316363722,2.79551283550411,1.96188468334624,-0.400040697488052,2.75739669962976,3.30001156888438,2.64755321246194,1.8486274237498,2.78679347602047,1.38671830576397,2.08766938046983,1.00582004702132,-2.31770629331374,-0.606319385140896
23,"Bahamas, The",7.11468120203626,5.73819886173449,2.72289766970589,1.39933423745549,2.06699495410041,1.37913741223667,0.544150383378706,1.33661336613368,1.25424826023631,1.6063294174058,2.04498977505121,2.17357792508091,3.02504526252236,0.981914036757665,1.59160618079803,2.38982627439253,2.49257794939399,4.48955995375059,2.0627347345268,1.34402738392836,3.19878141660321,1.97336755976255,0.722414784530555,1.51375643050825,1.86148302863373,-0.346376929989402,1.51820700736153,2.26586346678726,2.49123527368055,0.0385210980053727,2.90491262928479
24,Bosnia and Herzegovina,,,,,,,,,,,,,,,,6.12556615620285,1.50077710611539,7.42704310332954,-0.38146428245309,1.99621236745889,3.67124999999999,2.0526745200172,-0.093045683831828,-0.897194054194286,-1.03602303425476,-1.58409999999997,0.810133321953047,1.41710814018026,0.562782154061303,-1.05129600763481,1.98163900587616
25,Belarus,,,14.411264,29.697231,17.678823,11.624178,8.597783,8.614832,6.02155,6.222522,5.973727,42.5375481348794,28.3978399133474,18.1082424937646,10.3388794457932,6.99712903535588,8.42675273505308,14.8378764828254,12.9456563410401,7.73574804312507,7.33799,6.314745,18.3122610377873,18.1195543526734,13.5344897649734,11.8365807653497,6.0318372517779,4.87230220550689,5.59815595039851,5.54814357456511,9.46028389623105
26,Belize,0.761951500806908,2.39670073025186,1.4725969469368,2.56934304644297,2.8896158437215,5.96502097537243,1.14903756760539,2.19526250037591,2.62139524582745,3.06743966930588,3.651417865615,4.24026660688647,2.31808274663101,6.39443099742397,-1.10431044411911,-7.11376771265012,2.31808274642021,6.39443100250033,-1.10431044864355,0.917977378808885,1.60205615640199,1.30058074547858,0.509747768983199,1.2013996448106,-0.861584009427676,0.663427167917558,1.14765339305809,0.269982622646432,0.187069385181357,0.12143464461496,3.23563659237067
