State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Georgia,6262.0,6269.0,6200.0,7019.0,8285.0,8777.0,9066.0,8536.0,9903.0,11235.0,13976.0,15898.0,17823.0,19738.0,21587.0,22608.0,21030.0,22203.0,24545.0,28594.0,29993.0,30527.0,26963.0,26179.0,27935.0,30311.0,35869.0,35868.0,42589.0,47357.0,48996.0,48894.0,49496.0,50019.0,47103.0,47317.0,46966.0,45408.0,43762.0,41585.0,41319.0,41671.0,39271.0,39435.0,40217.0,40725.0,44754.0,46917.0,47353.0,42073.0,39068.0,36762.0,37591.0,36541.0,38097.0,38643.0,40990.0,37258.0,34355.0,36170.0
Hawaii,138.0,161.0,256.0,215.0,575.0,491.0,598.0,591.0,662.0,684.0,938.0,1830.0,1258.0,1295.0,1762.0,1889.0,2034.0,2012.0,2423.0,2651.0,2889.0,2424.0,2542.0,2579.0,2409.0,2313.0,2604.0,2851.0,2810.0,3004.0,3113.0,2744.0,2998.0,3061.0,3091.0,3509.0,3322.0,3299.0,2946.0,2785.0,2954.0,3117.0,3262.0,3400.0,3213.0,3253.0,3608.0,3544.0,3510.0,3550.0,3603.0,3465.0,3330.0,3533.0,3680.0,4201.0,4417.0,3577.0,3532.0,4042.0
Idaho,255.0,222.0,234.0,362.0,537.0,493.0,461.0,478.0,518.0,806.0,879.0,917.0,1085.0,1264.0,1465.0,1670.0,1884.0,2030.0,2076.0,2613.0,2957.0,2717.0,2501.0,2361.0,2355.0,2360.0,2232.0,2138.0,2345.0,2582.0,2776.0,3016.0,3003.0,3097.0,3238.0,3745.0,3177.0,3107.0,3468.0,3066.0,3267.0,3211.0,3419.0,3362.0,3452.0,3670.0,3666.0,3841.0,3680.0,3805.0,3464.0,3202.0,3318.0,3498.0,3468.0,3568.0,3876.0,3888.0,3983.0,4000.0
Illinois,36802.0,37156.0,38926.0,33627.0,36916.0,34345.0,39116.0,42956.0,44776.0,49543.0,52006.0,53436.0,57162.0,62457.0,69806.0,74699.0,70266.0,70910.0,76084.0,83540.0,91753.0,90781.0,88644.0,83629.0,83441.0,82448.0,93454.0,92216.0,93557.0,98611.0,110575.0,119955.0,113664.0,112260.0,112928.0,117836.0,105482.0,102476.0,97291.0,83621.0,81196.0,79270.0,75759.0,70376.0,69365.0,70496.0,69498.0,68528.0,67780.0,64185.0,57132.0,54523.0,53403.0,48974.0,47663.0,49354.0,55854.0,56180.0,51490.0,51561.0
Indiana,3945.0,4044.0,4191.0,4819.0,6564.0,6695.0,7196.0,8143.0,10229.0,10141.0,12184.0,13031.0,12968.0,13696.0,15631.0,17677.0,16721.0,16553.0,17383.0,18254.0,20633.0,18672.0,16444.0,15547.0,16781.0,17014.0,16937.0,18169.0,21187.0,22735.0,26275.0,28349.0,28791.0,27941.0,30205.0,30451.0,31366.0,30179.0,25423.0,22261.0,21230.0,22734.0,22001.0,21842.0,20294.0,20302.0,20303.0,21310.0,21525.0,21455.0,20983.0,21619.0,22602.0,23487.0,24099.0,25653.0,26845.0,26598.0,25581.0,24966.0
Iowa,656.0,643.0,559.0,629.0,1007.0,1067.0,1214.0,1608.0,1882.0,1918.0,2241.0,2822.0,2519.0,2970.0,3455.0,4039.0,3813.0,4145.0,4674.0,5259.0,5826.0,5915.0,5018.0,5262.0,5781.0,6106.0,6703.0,6553.0,7279.0,7563.0,8321.0,8477.0,7816.0,9159.0,8914.0,10071.0,7771.0,8841.0,8916.0,8034.0,7796.0,7865.0,8388.0,8175.0,8499.0,8697.0,8521.0,8970.0,8651.0,8485.0,8191.0,7883.0,8112.0,8388.0,8497.0,8936.0,9110.0,9230.0,7893.0,8410.0
Kansas,1272.0,1282.0,1477.0,1831.0,2573.0,2392.0,2517.0,3248.0,3463.0,3873.0,4561.0,4843.0,4737.0,4956.0,6272.0,6307.0,6529.0,7206.0,7471.0,8376.0,9168.0,8796.0,8088.0,7919.0,8147.0,8716.0,9076.0,8932.0,9083.0,10073.0,11093.0,12465.0,12888.0,12564.0,11314.0,10792.0,10642.0,11151.0,10972.0,10159.0,10470.0,10909.0,10229.0,10831.0,10330.0,10701.0,11960.0,12730.0,11554.0,11460.0,10602.0,10209.0,10232.0,9838.0,10123.0,11353.0,11060.0,12030.0,12782.0,11968.0
Kentucky,2957.0,2907.0,2963.0,2849.0,3486.0,3463.0,4191.0,4484.0,5317.0,5745.0,7157.0,7717.0,7446.0,7356.0,7857.0,8967.0,8987.0,8077.0,7807.0,8748.0,9711.0,10599.0,11550.0,11967.0,10342.0,11384.0,12467.0,12589.0,12284.0,13302.0,14386.0,16262.0,20107.0,17530.0,16991.0,14079.0,12448.0,12386.0,12909.0,12212.0,11903.0,10510.0,11101.0,10232.0,10152.0,11134.0,11361.0,12329.0,12690.0,11000.0,10604.0,10465.0,9752.0,9222.0,9340.0,9676.0,10308.0,10056.0,9467.0,9701.0
Louisiana,4990.0,4508.0,4570.0,5798.0,7140.0,7178.0,8689.0,10071.0,11742.0,13492.0,15063.0,15208.0,15712.0,16020.0,17794.0,18137.0,18161.0,20577.0,23197.0,27229.0,27926.0,27478.0,29185.0,28444.0,30251.0,31108.0,34128.0,30916.0,31711.0,34257.0,37914.0,40438.0,42209.0,45600.0,42369.0,43741.0,40426.0,37248.0,34057.0,32033.0,30440.0,30678.0,29690.0,28622.0,28844.0,26889.0,30923.0,31789.0,29613.0,28878.0,25241.0,25373.0,22868.0,23984.0,23934.0,25208.0,26502.0,26092.0,25049.0,25537.0
Maine,289.0,334.0,277.0,306.0,506.0,437.0,486.0,621.0,633.0,733.0,887.0,903.0,1143.0,1258.0,1440.0,2324.0,2354.0,2438.0,2266.0,2221.0,2173.0,2214.0,1847.0,1829.0,1832.0,1950.0,1726.0,1806.0,1898.0,1676.0,1759.0,1631.0,1616.0,1558.0,1611.0,1631.0,1553.0,1500.0,1566.0,1404.0,1397.0,1435.0,1396.0,1422.0,1364.0,1483.0,1533.0,1565.0,1572.0,1580.0,1621.0,1638.0,1631.0,1718.0,1700.0,1729.0,1648.0,1617.0,1501.0,1548.0
