State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
South Dakota,282.0,245.0,279.0,278.0,408.0,415.0,568.0,586.0,563.0,510.0,616.0,644.0,756.0,869.0,1234.0,1402.0,1277.0,1303.0,1128.0,1096.0,873.0,718.0,684.0,840.0,1041.0,967.0,883.0,849.0,813.0,969.0,1133.0,1281.0,1383.0,1490.0,1641.0,1513.0,1297.0,1457.0,1139.0,1227.0,1259.0,1171.0,1350.0,1329.0,1319.0,1387.0,2071.0,1926.0,2227.0,1777.0,2196.0,2105.0,2682.0,2674.0,2786.0,3289.0,3621.0,3771.0,3570.0,3530.0
Tennessee,3250.0,3910.0,3767.0,3777.0,4505.0,5333.0,6145.0,8111.0,8766.0,9235.0,10787.0,12520.0,12858.0,14771.0,15969.0,16627.0,16574.0,16743.0,16671.0,18135.0,20824.0,19019.0,19586.0,18836.0,21010.0,22592.0,25919.0,25900.0,26205.0,27118.0,32698.0,35955.0,37487.0,39047.0,38705.0,40549.0,41175.0,42389.0,38832.0,38111.0,40233.0,42776.0,41562.0,40409.0,41113.0,45104.0,46043.0,46482.0,44913.0,41933.0,38909.0,38895.0,41550.0,38364.0,39848.0,40400.0,42097.0,43755.0,42226.0,40647.0
Texas,15428.0,15441.0,15516.0,17511.0,19769.0,21029.0,24382.0,26749.0,29646.0,36707.0,40897.0,43089.0,41285.0,45458.0,47008.0,47803.0,44422.0,52309.0,56650.0,67988.0,77978.0,78560.0,88178.0,80546.0,80737.0,90030.0,109925.0,105961.0,109499.0,111889.0,129343.0,145743.0,142369.0,137419.0,129838.0,124303.0,123270.0,117126.0,111566.0,112306.0,113653.0,122155.0,126018.0,122246.0,121554.0,121091.0,121602.0,122014.0,123585.0,121684.0,113231.0,104734.0,106476.0,107998.0,109414.0,113227.0,121042.0,124238.0,117927.0,121474.0
United States,288460.0,289390.0,301510.0,316970.0,364220.0,387390.0,430180.0,499930.0,595010.0,661870.0,738820.0,816500.0,834900.0,875910.0,974720.0,1039710.0,1004210.0,1029580.0,1085550.0,1208030.0,1344520.0,1361820.0,1322390.0,1258087.0,1273282.0,1327767.0,1489169.0,1483999.0,1566221.0,1646037.0,1820127.0,1911767.0,1932274.0,1926017.0,1857670.0,1798792.0,1688540.0,1636096.0,1533887.0,1426044.0,1425486.0,1439480.0,1423677.0,1383676.0,1360088.0,1390745.0,1435123.0,1422970.0,1394461.0,1325896.0,1251248.0,1206031.0,1214464.0,1191988.0,1197987.0,1231566.0,1283058.0,1283220.0,1245065.0,1245410.0
Utah,484.0,451.0,554.0,598.0,888.0,886.0,1148.0,1194.0,1201.0,1460.0,1459.0,1689.0,2063.0,2412.0,2517.0,2795.0,2709.0,3043.0,3552.0,4158.0,4425.0,4527.0,4440.0,4144.0,4035.0,4398.0,4441.0,3861.0,4110.0,4417.0,4892.0,5077.0,5267.0,5599.0,5810.0,6415.0,6638.0,6878.0,6599.0,5869.0,5711.0,5314.0,5488.0,5889.0,5647.0,5612.0,5771.0,6347.0,6165.0,5998.0,5925.0,5547.0,5876.0,6498.0,6346.0,7071.0,7407.0,7410.0,7368.0,7553.0
Vermont,37.0,79.0,57.0,92.0,89.0,89.0,80.0,86.0,157.0,234.0,329.0,333.0,445.0,327.0,353.0,448.0,563.0,722.0,810.0,908.0,914.0,659.0,655.0,696.0,769.0,790.0,807.0,748.0,791.0,753.0,716.0,662.0,624.0,658.0,562.0,692.0,714.0,705.0,628.0,676.0,691.0,644.0,658.0,707.0,713.0,782.0,905.0,802.0,854.0,837.0,820.0,925.0,893.0,759.0,622.0,739.0,989.0,1034.0,1077.0,1262.0
Virginia,7286.0,7555.0,7720.0,8259.0,10561.0,10145.0,10399.0,10328.0,12821.0,12433.0,14040.0,15384.0,16483.0,16007.0,17514.0,18917.0,15485.0,14893.0,14743.0,15642.0,16355.0,17456.0,16970.0,16236.0,16660.0,16813.0,17708.0,17414.0,17940.0,19057.0,21694.0,23459.0,23907.0,24160.0,23437.0,23921.0,22782.0,23249.0,22115.0,21626.0,19943.0,20939.0,21256.0,20490.0,20608.0,21434.0,21683.0,21035.0,20031.0,18195.0,17184.0,16014.0,15564.0,16205.0,16340.0,16399.0,18302.0,17632.0,17032.0,17753.0
Washington,1616.0,1687.0,1913.0,2034.0,2761.0,3081.0,3673.0,4754.0,6970.0,8243.0,7546.0,8155.0,8627.0,9309.0,12036.0,13851.0,14036.0,13714.0,15296.0,17064.0,19098.0,18839.0,17251.0,15986.0,17676.0,18757.0,19505.0,19945.0,21543.0,22460.0,24410.0,26224.0,27454.0,27040.0,27317.0,26300.0,23857.0,24724.0,24380.0,21716.0,21788.0,21258.0,20964.0,21272.0,21330.0,21745.0,22303.0,21768.0,21888.0,22412.0,21138.0,20152.0,20386.0,20153.0,20136.0,20394.0,22023.0,22548.0,23472.0,22377.0
West Virginia,1200.0,1167.0,1146.0,1185.0,1359.0,1413.0,1613.0,1744.0,1959.0,1766.0,2158.0,2311.0,2299.0,2219.0,2460.0,2915.0,2761.0,2832.0,3120.0,3156.0,3547.0,3410.0,3405.0,3375.0,3283.0,3214.0,3156.0,2605.0,2476.0,2724.0,3036.0,3440.0,3833.0,3793.0,3931.0,3842.0,3836.0,3971.0,4503.0,6336.0,5723.0,5035.0,4221.0,4627.0,5110.0,4968.0,5113.0,5016.0,5006.0,5554.0,5586.0,5497.0,5869.0,5568.0,5588.0,6231.0,6557.0,6368.0,5236.0,5674.0
Wisconsin,1261.0,1268.0,1174.0,1312.0,1762.0,1911.0,1984.0,2948.0,3400.0,3411.0,3792.0,3957.0,4358.0,5273.0,6411.0,6992.0,6345.0,6117.0,6184.0,7839.0,8546.0,8904.0,9077.0,9070.0,9367.0,9880.0,12339.0,12014.0,10414.0,10834.0,12948.0,13723.0,13806.0,13321.0,13748.0,14399.0,13039.0,13988.0,13009.0,12908.0,12700.0,12486.0,12238.0,12104.0,11548.0,13367.0,15899.0,16330.0,15507.0,14650.0,14167.0,14268.0,16064.0,15961.0,16714.0,17647.0,17679.0,18539.0,17176.0,17070.0
Wyoming,362.0,288.0,156.0,213.0,285.0,257.0,273.0,294.0,278.0,286.0,376.0,532.0,511.0,763.0,519.0,764.0,851.0,978.0,1189.0,1579.0,1841.0,2116.0,1527.0,1219.0,1237.0,1307.0,1486.0,1387.0,1479.0,1227.0,1367.0,1427.0,1489.0,1345.0,1297.0,1220.0,1201.0,1225.0,1191.0,1115.0,1316.0,1272.0,1364.0,1314.0,1163.0,1172.0,1307.0,1344.0,1330.0,1196.0,1117.0,1245.0,1161.0,1195.0,1142.0,1302.0,1430.0,1376.0,1226.0,1258.0
