LOCATION,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
KOR,22058.8868537215,23029.7109883012,24044.9633578136,25473.0693061745,25993.7491383285,28533.0324299236,29877.5104704048,29267.8997202124,28965.582775918,29231.745126618,29505.4946772628,30528.13740471,31577.9483855717,32744.8087085357,33483.632293358,34516.4997738323,34961.1397758726,35717.3675812774,35610.8652657547,35795.4389762404,36357.649756566,36834.5095374574,36293.2522423141,37209.0941115754,37286.9500724865,38323.1495521807,39446.5164992617,40374.0110243799,41765.2288876683,43199.5152506013,43341.6301363788,42747.1094597402
LTU,,,,,,10714.0122283415,11950.9647816706,13205.0890538275,14422.1102452964,15059.7870269496,15121.808383641,15964.5222317196,17041.9116614241,18879.7125867485,20950.0278468997,23143.5491459094,26503.5775632622,28231.0539076296,28747.0852331434,24963.1840584199,25057.9202665736,25569.1616428109,25996.2472989433,26980.8543566851,28207.8855905848,30054.9233850064,31601.144875693,33424.6070551171,34952.3131506065,37305.1416069086,39610.5961607839,42027.3159157365
LUX,51687.8680471653,53148.631372795,54560.7825010793,55617.9307588274,56518.1688842019,56479.8801593827,57210.3553498956,58289.9159386915,58429.1807273067,59742.8248736751,61736.045349325,62125.4025833651,63398.7643685613,62945.5601966319,63658.6375618668,63966.1687716434,64851.3713224359,66606.5032982332,66260.3779114158,68323.7111808846,68363.8881172044,68750.4342044103,68035.0928885926,68852.512316231,70029.042596837,70388.5812017006,70174.4519655124,71070.972989562,71131.6950721728,71250.8412977186,71222.8927682139,73656.7944725552
LVA,,,,,,,10126.2363100401,10603.4519086741,10925.2856694973,11374.6538945676,11971.518006636,12361.7628922713,11984.2062205982,12841.4055662869,13960.0639695759,16237.124641958,17903.7264134579,22073.0659757635,22775.2599076275,20566.9525291188,19772.4060927504,19086.2412553667,19860.5330974882,20810.650176225,22206.497121184,24062.1277960866,25473.3332432093,26386.6646958621,27357.2775302411,28547.4561699105,29812.7273302086,32235.409373312
MEX,15529.9640078847,16350.8612499106,17240.6284368066,17940.236414717,18395.5898342994,15149.3876933601,14272.4689798608,14979.4830894386,15802.8996634471,16447.091739232,17309.7202701433,18312.2502559511,18240.4287830145,18560.6158016062,18649.152462012,18776.9767159783,18745.113721779,18816.9743578406,18655.0041922051,18805.4003215479,17617.4874577378,17775.6887535672,17456.3450558194,17468.8208419692,17502.0732862651,17729.4503035916,17520.7889165033,17474.5231131432,17864.3463617808,18033.3000581825,17456.9519954475,16429.2635893051
NLD,53650.472246746,54070.6775237385,54355.8323358498,55270.9609404697,55672.2116406794,54590.1244438184,54408.6590710673,54578.3555408167,52830.976917974,53840.0798302498,55157.8085217367,55976.2519207602,56149.8764175601,56546.1112849744,57435.585338303,57435.2978155562,57310.3123912023,58109.1135759089,58461.6316405738,60919.7593746743,60860.9659343676,60589.2185375162,60792.4973810916,60971.7742894356,60646.0319905911,61383.2212029571,61630.7085780488,61186.4103776484,60514.9759614184,60140.0594526848,61560.268470885,60922.6046568573
NOR,32618.5097656685,32979.6237574189,33401.1694456254,33719.7779499892,34407.1682480709,34728.4837343724,35764.752143209,36554.5097208177,37899.3480246313,39121.7798510389,39466.0946462092,40569.6420713005,42076.2677789548,42630.8440099756,44066.5645146533,45340.0555165125,47150.4072494647,49243.9620261781,50279.3472032024,50803.8834934501,51471.0835340886,53279.9890262897,54731.795640925,55851.6441660469,56104.0975382273,56384.7211498279,55473.1367126417,55332.0098039175,55710.151803035,56704.8849178672,56719.7392546549,58377.006567139
NZL,30869.8998705207,29652.0162942791,30962.0088903579,31762.1345634805,32324.3078205339,32178.3835602315,32708.1617635325,33637.0184858692,33085.4955412444,32671.9470834101,32801.982176737,33423.8924841555,34041.5178721839,35303.2810873826,36539.6086328354,37157.6374263086,37385.4450100274,39569.5271435299,39110.4878389306,39588.2125060745,40022.2794487314,39991.6849594779,40855.4849245786,40307.7496909638,40465.8133140002,41195.3730252816,42535.4337596452,42827.8801009874,43898.3763836663,45233.4644225101,46125.7719467566,46976.3871001948
OECD,38033.7120719554,38280.3144134134,39064.9631451888,39129.9062878875,39247.0606308864,39362.186431023,39767.6328252519,40467.4447833961,41406.9909361027,42361.5941525342,43239.5979085353,43692.5997258797,43842.9946205301,44226.8372714323,44859.8942466297,45202.1869611899,45614.499726715,46190.6592387118,46080.383305023,46355.3231119194,46428.5303826985,46569.9714516196,46584.2917363124,46715.0381893771,47079.6573639067,47887.314892122,48300.4101613084,48654.7524088119,49199.8902977004,50050.0689654865,50624.8873747117,51606.8688182131
POL,,,,,,17126.7559260968,18481.2066136892,19441.0715119948,20020.4693713855,21756.0499215979,21858.728237625,23107.5653103793,23012.4333547043,23290.6999255796,22773.7956376634,22731.0849616241,22880.0710086038,23615.6432256176,24874.9818765438,24810.9416603131,25511.5612228822,25480.7308267439,25217.8248182505,25486.2513363194,26025.5267930872,26709.7707761107,28050.6896604211,29236.4770516899,31213.4133092151,32695.4322746509,33330.3226849049,33566.2789446222
PRT,,,,,,25403.6622688114,26343.5152649401,27028.4175093311,27366.583955339,28298.6430107348,28691.8452658434,28807.0664114458,28794.6546305375,28728.3166333835,28766.4524811363,28609.201266578,27988.2933437366,28174.9644538306,28080.944222886,29378.4312784461,29260.3025648997,28548.020226233,27321.4310009088,27840.2049450758,27360.5189798253,27277.8330286293,27134.7079243083,27244.3598125418,27695.9488231657,28790.3670832311,29093.1255424424,29740.2954323036
SVK,,,,,10581.771420389,11396.8885674064,12324.3745012172,13993.4663143245,14544.2510396693,14241.4007867447,14786.275297452,14785.4007157266,15547.4951338128,15848.0152199301,16077.6022384448,17064.0251518126,17654.8035354837,18737.8454834238,18931.2161542892,19575.0125425904,20427.2619057228,20248.8293740462,19996.421653742,20149.3478549125,20553.2012349736,21360.3605740993,22039.3498506095,22692.7850948861,23333.3833395461,24095.5328882777,24406.7456538289,24804.671139622
SVN,,,,,,25264.1439553052,26519.5367851749,27933.604979529,28276.6994963329,28804.7299300713,29550.0301710629,30758.0079799206,30840.9483780953,31480.8044154671,33001.4945583241,34258.7762299857,35399.4133115559,36190.3153572177,36740.532786167,37051.6654424809,38123.3014451669,38007.4819267322,36882.5250569926,36279.0982532868,36999.8772267526,37779.3994336368,39241.7706665893,39962.1999122763,40664.4057933789,41860.1613488932,43309.7173070246,43892.4254044126
SWE,29855.1416545656,28433.5883643154,29324.5677783177,28940.3411114653,29649.2100642394,29716.0052654696,31489.8692243738,32731.8256749799,33809.6692287256,34520.6165589901,35613.264782673,36031.0872246814,36506.0878820435,36815.7160171256,38038.4671460666,38996.721690243,40081.9330187544,41422.6018608616,42217.400667076,42368.2004935797,42885.4438130494,43523.7236155237,44447.1311275595,44938.7002392389,45438.5366167834,46131.9717938222,46848.5439208102,47100.7117172587,47338.8314394413,47834.7225355909,48430.2302010573,48951.1026657769
TUR,,,,,,,,,,,,,,,,,21839.9628670585,22590.984709907,22467.8758088104,22722.9733525656,23291.5868677003,23666.7548738797,24617.5774184607,25748.9794744452,26631.2016858859,27308.1029608959,30653.260715263,30076.3789394926,30610.7151561307,32625.0508075616,32482.6713098403,
USA,48789.1897440145,49120.7433932799,50259.2242594897,49976.0350696503,49784.9892850696,50067.239543044,50798.9486453196,52067.2538343043,54211.9814517411,55641.5242840595,57498.9035174666,57939.6628556631,58405.4792323863,59033.8390062937,60127.4044432791,60184.2170112976,61084.8868645938,62241.945889786,62088.5034386166,62711.3094375679,63264.8102323846,63349.4306680621,63890.2255306466,63587.7730747805,64513.4410631374,66139.5133731373,66259.724729521,66933.9728439335,67663.8360775703,68842.3066162042,72806.7540079049,74737.8453542402
