Date,Adriatic Sea,Andaman Sea,Arabian Sea,Atlantic Ocean,Baltic Sea,Bay Bengal,Bering Sea,Caribbean Sea,Gulf Mexico,Indian Ocean,Indonesian,Mediterranean,Nino,North Atlantic,North Pacific,North Sea,Pacific Ocean,Persian Gulf,Sea Japan,Sea Okhotsk,South China,Southern Ocean,Tropics,World,Yellow Sea
01/05/2013,-3.91,,,,,,,,,,,,,,,,,,,,119.87,,,,
01/05/2017,,83.48,55.77,51.78,372.47,65.78,68.4,45.73,82.96,51.67,151.68,-12.57,52.16,49.0,35.43,192.7,50.18,79.57,58.0,50.03,122.9,63.29,52.6,54.08,37.28
01/05/2022,88.87,,,,,,,,,,,,,,,,,,,,,,,,
01/06/1993,-79.01,,,,,,,,,,,,,,,,,82.33,,,,,,,-37.51
01/06/1994,,,,,-106.65,,,,,,,,,,,,,,,-1.29,,,,,
01/06/1999,,,,15.19,,,,,,,,,,17.57,,,,,,,,,,,-69.11
01/06/2000,,,,,221.05,,,,,,,,,,,,,,,,,,,,
01/06/2005,-12.61,,,,,,,-11.08,,,,,,24.29,,,,-11.47,,,,,,,-20.99
01/06/2006,,,,,,,,,,,,,,,,,,,4.33,,,,,,
01/06/2011,90.43,,,,,,,3.84,,,,,,,,,,,,,,,,,-74.54
01/06/2012,,,,,388.55,,,,,,,,,,,145.09,,95.23,,,,,,,
01/06/2013,,,29.89,40.15,,34.94,14.72,40.52,,49.18,,,38.96,21.89,31.97,,36.1,46.93,,,,51.49,40.21,40.86,-25.99
01/06/2017,-39.53,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2018,,35.48,,,,,,,,,,94.93,,,,,,,7.0,23.93,,,,,
01/07/1994,,-1.44,3.84,-13.81,,35.27,6.35,,-50.75,-19.93,5.91,28.02,-14.13,-22.73,-15.61,-126.89,-15.88,1.03,-35.75,,-31.4,-15.93,-14.94,-15.15,
01/07/2000,,0.86,-29.96,7.39,,3.87,4.25,-36.78,-10.75,-0.03,110.31,-31.08,-20.93,36.17,14.59,75.51,-13.08,44.43,48.55,46.21,20.2,9.27,-13.74,-2.75,14.89
01/07/2006,,66.81,2.29,6.75,75.0,26.64,26.22,-22.98,-49.9,16.38,94.41,2.68,18.86,7.79,5.17,-0.76,24.8,107.03,,45.41,86.37,20.69,23.51,20.26,8.41
01/07/2012,,104.15,28.78,24.72,,58.27,15.12,8.34,10.36,39.22,169.88,-24.47,24.27,17.41,20.61,,31.86,,14.9,14.22,111.49,41.56,36.25,34.14,25.46
01/07/2013,,93.51,,,196.75,,,,35.1,,119.31,-7.42,,,,126.64,,,-19.17,3.01,,,,,
