Date,Adriatic Sea,Andaman Sea,Arabian Sea,Atlantic Ocean,Baltic Sea,Bay Bengal,Bering Sea,Caribbean Sea,Gulf Mexico,Indian Ocean,Indonesian,Mediterranean,Nino,North Atlantic,North Pacific,North Sea,Pacific Ocean,Persian Gulf,Sea Japan,Sea Okhotsk,South China,Southern Ocean,Tropics,World,Yellow Sea
1993-05-27,-60.61,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-02,,,,,-195.95,,,,,,,,,,,,,,,,,,,,
1993-06-03,,44.16,58.54,-41.01,,25.47,,,-35.75,-11.63,-111.29,-40.48,-29.83,-58.33,-50.01,-61.29,-22.08,-72.37,-38.05,-14.89,-106.7,-20.23,-23.44,-26.45,
1993-06-04,-48.41,,,,,,-10.85,-37.38,,,,,,,,,,,,,,,,,-60.11
1993-06-12,,,,,-106.55,16.87,,,,,,,,,,,,,,,,,,,
1993-06-13,,82.86,37.94,-31.61,,,-2.15,-7.68,0.15,-15.33,-107.99,-41.78,-29.13,-40.63,-36.11,-59.59,-19.98,-81.07,-99.75,-37.19,-95.4,-26.23,-18.54,-23.45,
1993-06-14,-60.21,,,,,,,,,,,,,,,,,,,,,,,,-58.11
1993-06-22,,,,,-4.55,,,,,,,,,,,-39.59,,,,-18.19,,,,,
1993-06-23,,63.66,28.04,-38.61,,17.87,20.65,-34.58,8.95,-17.23,-113.89,-45.08,-26.53,-45.73,-20.51,,-5.98,-100.37,-90.15,,-96.8,-17.83,-16.54,-18.65,
1993-06-24,-69.51,,,,,,,,,,,,,,,,,,,,,,,,-42.71
1993-06-30,,,,,82.55,,,,,,,,,,,,,16.93,,,,,,,
1993-07-01,-89.61,,,,,,,,,,,,,,,,,,,,,,,,
1993-07-02,,70.06,,,,14.07,,,-0.35,,-119.79,-36.48,,,,-13.49,,,-59.55,-17.89,-75.0,,,,
1993-07-03,,,24.84,-30.61,,,13.55,-24.98,,-5.83,,,-21.63,-29.93,-15.51,,-8.88,,,,,-15.53,-14.14,-15.35,-10.01
1993-07-12,,64.16,,,121.45,22.07,,,,,,-42.28,,,,-74.59,,,,-13.89,,,,,
1993-07-13,,,4.44,-29.21,,,10.25,-7.88,14.65,-8.63,-122.49,,-16.13,-17.43,-2.01,,-9.88,-33.07,-18.85,,-66.4,-33.43,-8.44,-15.95,5.29
1993-07-14,-91.81,,,,,,,,,,,,,,,,,,,,,,,,
1993-08-01,,,,,104.45,-35.13,45.15,,,,-139.39,-15.08,,,,-44.59,,-83.47,,-4.39,-79.3,,,,
1993-08-02,-39.51,68.86,-62.56,-23.51,,,,2.22,28.25,-41.13,,,-36.73,-1.83,16.59,,-13.08,,-61.65,,,-45.53,-19.64,-22.75,58.09
1993-08-11,,,,,78.15,,,,,,,-20.18,,,,-23.79,,,,-1.59,-64.2,,,,
1993-08-12,-44.91,77.96,-63.26,-25.51,,-31.93,14.45,11.82,11.55,-40.93,-139.09,,-29.83,3.27,27.39,,-3.88,-111.57,-46.15,,,-39.53,-17.04,-18.55,60.69
1993-08-20,,,,,105.25,,,,,,,,,,,,,,,,,,,,
1993-08-21,,94.46,,,,17.57,15.55,,30.05,-27.63,-148.79,10.02,-18.83,,48.09,2.81,-4.28,-61.57,-23.55,-8.99,-63.3,-38.63,-13.34,-13.15,
1993-08-22,-12.11,,-52.26,-13.21,,,,12.52,,,,,,23.87,,,,,,,,,,,10.79
1993-08-30,,,,,116.95,,,,,,,,,,,,,,,,,,,,
1993-08-31,,49.36,-31.86,-12.41,,26.27,38.25,,27.85,-10.63,-137.29,49.42,-5.13,,42.79,27.81,-2.78,35.73,-30.45,11.51,-38.1,-34.63,-6.54,-8.05,
1993-09-01,-11.91,,,,,,,11.52,,,,,,23.07,,,,,,,,,,,14.49
1993-09-09,,,,,-14.85,,,,,,,,,,,,,,,,,,,,
1993-09-10,,61.26,-43.36,-6.71,,3.87,18.65,,30.35,-11.23,-129.39,45.42,-1.43,27.07,26.99,-41.99,-5.78,7.83,-15.25,-13.99,-43.6,-27.73,-8.54,-8.75,
1993-09-11,-32.11,,,,,,,17.22,,,,,,,,,,,,,,,,,67.89
1993-09-19,,-5.34,,,-130.45,-3.53,,,,,,,,,,-21.79,,,,,,,,,
1993-09-20,,,-56.96,-0.41,,,10.55,28.42,68.65,-27.83,-142.59,78.62,-9.13,35.07,23.99,,-13.18,25.73,-4.65,-14.19,-52.0,-32.53,-16.54,-13.85,9.79
1993-09-21,7.39,,,,,,,,,,,,,,,,,,,,,,,,
1993-09-29,,,,,-207.75,,,,,,,,,,,,,,,,,,,,
1993-09-30,,-15.04,-47.76,-2.51,,-15.53,0.45,32.32,78.55,-32.63,-137.09,52.02,-7.63,37.67,45.39,-91.19,-10.88,-6.37,61.75,5.21,-20.5,-38.23,-15.04,-13.25,
1993-10-01,5.99,,,,,,,,,,,,,,,,,,,,,,,,81.79
1993-10-09,,,,,-381.95,,,,,,,,,,,-105.49,,,,,,,,,
1993-10-10,,3.06,-49.36,3.29,,-26.83,11.75,37.12,66.15,-26.43,-112.59,105.42,4.87,41.77,42.39,,-7.68,34.73,69.25,-17.09,41.3,-38.53,-5.94,-7.75,
1993-10-11,82.79,,,,,,,,,,,,,,,,,,,,,,,,112.19
1993-10-19,,,,,-122.85,,,,,,,,,,,95.51,,,,-31.99,,,,,
1993-10-20,,59.76,-56.56,-0.71,,-13.93,14.65,38.82,72.75,-26.43,-90.39,101.02,8.47,34.37,45.79,,-7.28,53.53,80.05,,17.6,-39.13,-6.94,-8.05,32.99
1993-10-21,55.19,,,,,,,,,,,,,,,,,,,,,,,,
1993-11-08,,-0.04,,,-176.25,23.37,,,,,,,,,,26.11,,68.73,-5.15,-10.29,18.7,,,,
