Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27
"Ghana",NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.622862815856934,0.618927896022797,0.614921748638153,0.610837876796722,0.606924176216125,0.602951228618622,0.59899914264679,0.585405886173248,0.581026971340179,0.577311754226685,0.573611795902252,0.585858643054962,0.579536855220795,0.575573205947876,0.572391450405121,0.56148624420166,0.551817178726196
"Greece",0.915460586547852,0.915280640125275,0.921082317829132,0.922337234020233,0.917958736419678,0.929776191711426,0.932648718357086,0.933883965015411,0.939935684204102,0.944317996501923,0.944988369941711,0.94834566116333,0.947026431560516,0.948061406612396,0.952344715595245,0.951313018798828,0.953703463077545,0.951976478099823,0.953560054302216,0.957512140274048,0.958849906921387,0.961138665676117,0.960000693798065,0.960400879383087
"Greece",0.30242383480072,0.299035310745239,0.286279290914536,0.280523836612701,0.274600595235825,0.267581760883331,0.258713513612747,0.251925975084305,0.246071308851242,0.241802126169205,0.216389894485474,0.216464698314667,0.214611828327179,0.215706244111061,0.181197926402092,0.188046470284462,0.187740683555603,0.179235398769379,0.178262323141098,0.164141640067101,0.161858022212982,0.155912488698959,0.147178024053574,0.143651321530342
"Guatemala",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.884755551815033,0.885469734668732,0.88622111082077,0.888466060161591,0.895673990249634,0.911407768726349,0.913428485393524,0.918208122253418,0.921900451183319,0.921416163444519,0.935431241989136,0.939647495746613
"Guatemala",0.636347353458405,0.629236161708832,0.622241139411926,0.615374207496643,0.608552098274231,0.601540148258209,0.594805002212524,0.587687611579895,0.583361327648163,0.606268703937531,0.591452360153198,0.590168535709381,0.588993608951569,0.591094553470612,0.589730322360992,0.585875928401947,0.578194499015808,0.553672909736633,0.549259841442108,0.545298457145691,0.541440367698669,0.534767866134644,0.533159911632538,0.531678318977356
"Guinea",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.771080136299133,0.782741665840149,0.78388899564743,0.784253895282745
"Guyana",0.862928152084351,0.875304639339447,0.88636314868927,0.896364450454712,0.902182459831238,0.907360315322876,0.916106283664703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.959601640701294,0.95357471704483,0.962273836135864,0.956306993961334,0.963570535182953,0.97346431016922,0.979280352592468,0.983998656272888,0.987627804279327
"Austria",0.908661425113678,0.911361932754517,0.913732528686523,0.916000604629517,0.919271767139435,0.921256721019745,0.921966075897217,0.92441999912262,0.925854742527008,0.925977766513824,0.92704963684082,0.931021928787231,0.931080341339111,0.931074678897858,0.934238374233246,0.935540735721588,0.938515961170197,0.937205135822296,0.938411891460419,0.941841840744019,0.944760143756866,0.944927990436554,0.944212734699249,0.943187594413757
"Austria",0.254929751157761,0.240367084741592,0.226039350032806,0.211108654737473,0.194463297724724,0.18224161863327,0.170280709862709,0.158378183841705,0.156024679541588,0.152930065989494,0.149946644902229,0.146902054548264,0.135427728295326,0.125101432204247,0.121218092739582,0.117913782596588,0.117548361420631,0.113835461437702,0.115226812660694,0.103010602295399,0.0921031609177589,0.0797583237290382,0.0650228634476662,0.0466417111456394
"Azerbaijan, Republic of",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.903465569019318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.927767932415009,0.940457046031952,0.95161360502243,0.946848034858704,0.947136759757996,0.949550092220306,0.950952470302582
"Bahamas, The",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00270462036133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Bahrain, Kingdom of",0.877667546272278,0.884905397891998,0.891215085983276,0.894058048725128,0.896376490592957,0.896326661109924,0.897846221923828,0.900516152381897,0.903832614421844,0.909257292747498,0.911956191062927,0.917220890522003,0.923073351383209,0.933715581893921,0.93472957611084,0.936947166919708,0.93489134311676,0.937638163566589,0.934801578521729,0.938535809516907,0.93912148475647,0.934429585933685,0.936883628368378,0.937942504882813
"Bahrain, Kingdom of",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.612088441848755,0.603408813476563,0.594581604003906,0.386610329151154,0.388182133436203,0.390385031700134,0.392490386962891,0.39403972029686,0.296516716480255,0.293355107307434,0.290531575679779
"Bangladesh",0.771437466144562,0.779627203941345,0.783011555671692,0.786222398281097,0.789219796657562,0.792299151420593,0.795319080352783,0.798403322696686,0.800001740455627,0.800088047981262,0.799664855003357,NaN,NaN,NaN,NaN,0.872231841087341,0.877772808074951,0.882602691650391,0.888585925102234,0.89018315076828,0.893368184566498,0.901305317878723,0.902452230453491,0.903412282466888
"Bangladesh",0.669048428535461,0.663929641246796,0.659815549850464,0.655436336994171,0.651039958000183,0.646635115146637,0.642277836799622,0.637746453285217,0.632458508014679,0.626941204071045,0.621224343776703,0.638311624526978,0.678421258926392,0.67320054769516,0.667829811573029,0.566048443317413,0.557869136333466,0.568105697631836,0.588932693004608,0.527688324451447,0.521230638027191,0.513243794441223,0.508119821548462,0.503249287605286
"Barbados",0.946114003658295,0.948867976665497,0.950308203697205,0.952321231365204,0.954298079013824,0.955992639064789,0.960749447345734,0.95956027507782,0.960180699825287,0.992778182029724,1.0018138885498,1.00247836112976,1.00324666500092,1.00695431232452,1.00949251651764,1.01116108894348,1.01248717308044,1.02005457878113,1.01915645599365,1.02629625797272,1.02224433422089,1.02257871627808,1.02290689945221,1.0234522819519
"Barbados",0.530696749687195,0.508144736289978,0.487303823232651,0.461423337459564,0.432333379983902,0.396813809871674,0.38735094666481,0.383475512266159,0.384607315063477,0.386206239461899,0.38735431432724,0.382483124732971,0.37845903635025,0.359186410903931,0.354088217020035,0.348510473966599,0.367814898490906,0.382982969284058,0.412252902984619,0.422810792922974,0.431667178869247,0.421781539916992,0.410326898097992,0.365811407566071
