,Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
55,Ghana,,,,,,,,0.622862815856934,0.618927896022797,0.614921748638153,0.610837876796722,0.606924176216125,0.602951228618622,0.59899914264679,0.585405886173248,0.581026971340179,0.577311754226685,0.573611795902252,0.585858643054962,0.579536855220795,0.575573205947876,0.572391450405121,0.56148624420166,0.551817178726196
57,Greece,0.30242383480072,0.299035310745239,0.286279290914536,0.280523836612701,0.274600595235825,0.267581760883331,0.258713513612747,0.251925975084305,0.246071308851242,0.241802126169205,0.216389894485474,0.216464698314667,0.214611828327179,0.215706244111061,0.181197926402092,0.188046470284462,0.187740683555603,0.179235398769379,0.178262323141098,0.164141640067101,0.161858022212982,0.155912488698959,0.147178024053574,0.143651321530342
59,Guatemala,0.636347353458405,0.629236161708832,0.622241139411926,0.615374207496643,0.608552098274231,0.601540148258209,0.594805002212524,0.587687611579895,0.583361327648163,0.606268703937531,0.591452360153198,0.590168535709381,0.588993608951569,0.591094553470612,0.589730322360992,0.585875928401947,0.578194499015808,0.553672909736633,0.549259841442108,0.545298457145691,0.541440367698669,0.534767866134644,0.533159911632538,0.531678318977356
63,Austria,0.254929751157761,0.240367084741592,0.226039350032806,0.211108654737473,0.194463297724724,0.18224161863327,0.170280709862709,0.158378183841705,0.156024679541588,0.152930065989494,0.149946644902229,0.146902054548264,0.135427728295326,0.125101432204247,0.121218092739582,0.117913782596588,0.117548361420631,0.113835461437702,0.115226812660694,0.103010602295399,0.0921031609177589,0.0797583237290382,0.0650228634476662,0.0466417111456394
67,"Bahrain, Kingdom of",,,,,,,,,,,,,,0.612088441848755,0.603408813476563,0.594581604003906,0.386610329151154,0.388182133436203,0.390385031700134,0.392490386962891,0.39403972029686,0.296516716480255,0.293355107307434,0.290531575679779
69,Bangladesh,0.669048428535461,0.663929641246796,0.659815549850464,0.655436336994171,0.651039958000183,0.646635115146637,0.642277836799622,0.637746453285217,0.632458508014679,0.626941204071045,0.621224343776703,0.638311624526978,0.678421258926392,0.67320054769516,0.667829811573029,0.566048443317413,0.557869136333466,0.568105697631836,0.588932693004608,0.527688324451447,0.521230638027191,0.513243794441223,0.508119821548462,0.503249287605286
71,Barbados,0.530696749687195,0.508144736289978,0.487303823232651,0.461423337459564,0.432333379983902,0.396813809871674,0.38735094666481,0.383475512266159,0.384607315063477,0.386206239461899,0.38735431432724,0.382483124732971,0.37845903635025,0.359186410903931,0.354088217020035,0.348510473966599,0.367814898490906,0.382982969284058,0.412252902984619,0.422810792922974,0.431667178869247,0.421781539916992,0.410326898097992,0.365811407566071
74,Belgium,0.217212587594986,0.208651527762413,0.200879007577896,0.193189412355423,0.187742859125137,0.182143345475197,0.177123785018921,0.171157032251358,0.170404449105263,0.129499584436417,0.129519313573837,0.132424294948578,0.131369933485985,0.105499729514122,0.104662962257862,0.103139623999596,0.101736448705196,0.0994527041912079,0.0942759290337563,0.0854430198669434,0.0784794464707375,0.074675016105175,0.0689479112625122,0.0656893104314804
76,Belize,0.754781424999237,0.684049308300018,0.643919408321381,0.614268004894257,0.588401079177856,0.56426340341568,0.575471043586731,0.578562378883362,0.586730599403381,0.556385457515717,0.561065495014191,0.553122222423553,0.54485946893692,0.575455605983734,0.529471516609192,0.520522654056549,0.514168560504913,0.546830475330353,0.715110421180725,0.711414456367493,0.7073774933815,0.702678203582764,0.51885598897934,0.510858178138733
78,Benin,0.732323706150055,0.722548723220825,0.713669657707214,0.704215705394745,0.695214986801147,0.68676370382309,0.679276883602142,0.672148883342743,0.668661177158356,0.673306167125702,0.669890761375427,0.666309952735901,0.662689924240112,0.659763634204865,0.648512482643127,0.645446300506592,0.642885088920593,0.620693564414978,0.617446899414063,0.614037692546844,0.610446631908417,0.619612097740173,0.616157054901123,0.612919628620148
81,Bolivia,0.62900722026825,0.624394357204437,0.619617342948914,0.614622235298157,0.609555661678314,0.604294002056122,0.59818309545517,0.591993808746338,0.587973177433014,0.583729565143585,0.580337762832642,0.576775729656219,0.548934757709503,0.54455953836441,0.538087844848633,0.539964973926544,0.536374151706696,0.532206952571869,0.528517961502075,0.509660720825195,0.498457491397858,0.494124859571457,0.489609003067017,0.485168546438217
83,Botswana,0.617917358875275,0.607821404933929,0.597571909427643,0.591142177581787,0.584825873374939,0.578795492649078,0.573919892311096,0.569203615188599,0.567558526992798,0.545986533164978,0.529975473880768,0.525877058506012,0.521682381629944,0.517944276332855,0.535687923431396,0.531873941421509,0.524823009967804,0.517158508300781,0.509184181690216,0.518610179424286,0.509081065654755,0.502505898475647,0.495572090148926,0.488528698682785
84,Brazil,0.561155200004578,0.551098108291626,0.541570544242859,0.538092613220215,0.533617556095123,0.52909243106842,0.527605950832367,0.523879826068878,0.520434200763702,0.523672938346863,0.520697116851807,0.508616507053375,0.509665548801422,0.487353444099426,0.482798963785172,0.477666914463043,0.473232239484787,0.46879830956459,0.466750621795654,0.465243458747864,0.463727504014969,0.462938755750656,0.46225517988205,0.461800307035446
87,Bulgaria,0.32600548863411,0.326418370008469,0.327000379562378,0.326768159866333,0.326924443244934,0.327446699142456,0.334791839122772,0.342487037181854,0.345741122961044,0.348667532205582,0.351443529129028,0.283278465270996,0.27134445309639,0.26255190372467,0.249521046876907,0.246384963393211,0.238650798797607,0.232789784669876,0.22338280081749,0.220829695463181,0.217276960611343,0.213806599378586,0.204997479915619,0.19746096432209
90,Burundi,,,,,,,,,0.604560494422913,0.634266138076782,0.587975561618805,0.583208799362183,0.565439939498901,0.562799572944641,0.560142040252686,0.529639303684235,0.525374472141266,0.521194398403168,0.516944169998169,0.511226296424866,0.505878031253815,0.505262672901154,0.501592099666595,0.497934848070145
92,Cambodia,,,,,,,,0.6457239985466,0.64072048664093,0.616672813892365,0.613857269287109,0.6089848279953,0.603643655776978,0.583218336105347,0.576548755168915,0.567385852336884,0.560564875602722,0.513696134090424,0.516148805618286,0.492431104183197,0.483453899621964,0.481707453727722,0.477275282144547,0.472512871026993
94,Cameroon,0.673842012882233,0.675154149532318,0.676986157894135,0.679303646087646,0.682353377342224,0.686129748821259,0.690064251422882,0.696249306201935,0.694473206996918,0.692677199840546,0.690900027751923,0.689107716083527,0.668007493019104,0.665532529354095,0.662998259067535,0.660350143909454,0.657572627067566,0.634836614131927,0.632220685482025,0.629583895206451,0.626893401145935,0.624042689800262,0.62118524312973,0.579088449478149
96,Canada,0.213974073529243,0.2092055529356,0.205279126763344,0.19792215526104,0.191040769219399,0.183683097362518,0.176632702350616,0.169583931565285,0.1651870906353,0.160937234759331,0.156323701143265,0.151528850197792,0.146539777517319,0.144707351922989,0.143155604600906,0.147019669413567,0.148476660251617,0.147649303078651,0.148470118641853,0.150826245546341,0.153528973460197,0.143746912479401,0.140906438231468,0.133069649338722
98,Central African Republic,0.744363188743591,0.742687880992889,0.740829050540924,0.739576458930969,0.738554000854492,0.737771034240723,0.736603975296021,0.735923111438751,0.73460727930069,0.704542517662048,0.703122019767761,0.701672077178955,0.700165748596191,0.692443788051605,0.6855788230896,0.679195761680603,0.677158057689667,0.675150215625763,0.673684477806091,0.675572693347931,0.672742545604706,0.658729672431946,0.656443357467651,
101,Chile,,,,,,,,0.464325845241547,0.436515510082245,0.429988712072372,0.422694832086563,0.421053767204285,0.408967226743698,0.40213081240654,0.395713627338409,0.379579901695251,0.376874893903732,0.372840702533722,0.367027908563614,0.36670395731926,0.357846170663834,0.352180570363998,0.348264694213867,0.345289170742035
103,"China, P.R.: Mainland",0.321576744318008,0.291174530982971,0.246709853410721,0.243589833378792,0.240305349230766,0.236755564808846,0.234713584184647,0.232680514454842,0.23334164917469,0.233835726976395,0.234068304300308,0.233652636408806,0.233097746968269,0.235919505357742,0.23364232480526,0.230754837393761,0.227692887187004,0.223386451601982,0.216378718614578,0.211105659604073,0.205697223544121,0.203185439109802,0.20076647400856,0.191980361938477
105,Colombia,0.582531452178955,0.571384489536285,0.562285125255585,0.553136229515076,0.538811028003693,0.525164842605591,0.522515058517456,0.520124733448029,0.522106468677521,0.523835837841034,0.525760173797607,0.519744098186493,0.513238549232483,0.50376284122467,0.498610883951187,0.491410613059998,0.505273461341858,0.499893456697464,0.496601164340973,0.490002453327179,0.462249904870987,0.462993919849396,0.461010187864304,0.459276556968689
107,"Congo, Democratic Republic of",0.721230089664459,0.714463412761688,0.708513915538788,0.70282918214798,0.698035061359406,,0.691234469413757,0.688477158546448,0.68607759475708,,0.68117892742157,,,,0.669917285442352,0.667898654937744,0.681903302669525,0.680473983287811,0.679108083248138,0.677645444869995,0.676204681396484,0.673569798469543,0.670956373214722,0.668858170509338
109,"Congo, Republic of",0.636764645576477,0.634448409080505,0.632432401180267,0.630985736846924,0.629624485969543,0.628647208213806,0.627055764198303,0.625352501869202,0.624039471149445,0.621532499790192,0.619384706020355,0.617924869060516,0.623439729213715,0.629396796226501,0.626954257488251,0.624590277671814,0.622287571430206,0.626832604408264,0.6247239112854,0.62261563539505,0.620431542396545,0.618471920490265,0.615831434726715,0.613282322883606
111,Costa Rica,0.487724781036377,0.482024520635605,0.480430752038956,0.47652667760849,0.471905499696732,0.468450784683228,0.466981649398804,0.455847233533859,0.437771856784821,0.435497224330902,0.436533242464066,0.423866719007492,0.388777852058411,0.387695878744125,0.389080822467804,0.380344480276108,0.367621660232544,0.361593991518021,0.354292899370193,0.345298111438751,0.334115564823151,0.336447834968567,0.338659793138504,0.340737611055374
113,Qatar,,,,,,,,,,,,,,,,,0.553582310676575,0.545833766460419,0.540250480175018,0.534667074680328,0.527680695056915,0.522473752498627,0.516924321651459,0.514330923557281
115,Romania,0.434052467346191,0.427766233682632,0.420603275299072,0.413968682289124,0.406470507383347,0.398104876279831,0.407691359519959,0.42510661482811,0.41789710521698,0.409323990345001,0.387451499700546,0.36618509888649,0.357109159231186,0.350287646055222,0.337154388427734,0.328803151845932,0.329012036323547,0.341418892145157,0.329842299222946,0.33001235127449,0.329865664243698,0.332413762807846,0.324660807847977,0.326773166656494
117,Russian Federation,0.411991596221924,0.416123956441879,0.420459240674973,0.419260501861572,0.417912095785141,0.415616899728775,0.409726202487946,0.403043359518051,0.395828515291214,0.394681751728058,0.396078586578369,0.388031631708145,0.377016574144363,0.370796352624893,0.347948908805847,0.340676426887512,0.338683128356934,0.314577132463455,0.310950219631195,0.305890619754791,0.301766604185104,0.295386672019959,0.286915123462677,0.279409915208817
119,Rwanda,0.595917642116547,0.591695129871368,0.587511301040649,0.585251808166504,0.583020091056824,0.580978751182556,0.579575896263123,0.577516376972198,0.574066460132599,0.570582270622253,0.547287046909332,0.538716733455658,0.529955625534058,0.489830017089844,0.481949806213379,0.473066776990891,0.467220515012741,0.461046040058136,0.444200158119202,0.43420422077179,0.423284977674484,0.415291398763657,0.406813442707062,0.392101109027863
121,Saudi Arabia,,,,,,,,,,,,,,0.682056725025177,0.671684384346008,0.660613715648651,0.649748563766479,0.643346548080444,0.641753196716309,0.639934301376343,0.635503590106964,0.633342385292053,0.631415128707886,0.28253635764122
123,Senegal,0.650847256183624,0.649343490600586,0.647536277770996,0.646297574043274,0.644998967647552,0.64401388168335,0.642568707466125,0.641144752502441,0.638508677482605,0.637525200843811,0.636190891265869,0.617816805839539,0.607821047306061,0.605390965938568,0.602800905704498,0.600137948989868,0.596142947673798,0.585286021232605,0.581968724727631,0.576840043067932,0.573508858680725,0.570693850517273,0.531057953834534,0.526623845100403
125,"Serbia, Republic of",,,,,,,,,,,,,,,,,0.218785047531128,0.181557610630989,0.183360978960991,0.188042998313904,0.193451106548309,0.19354410469532,0.169198974967003,0.170536071062088
126,Papua New Guinea,0.790928423404694,0.7563835978508,0.72717547416687,0.70951634645462,0.696237087249756,0.685378909111023,0.677408158779144,0.670854866504669,0.669830024242401,0.668420732021332,0.667229890823364,0.664748311042786,0.675243556499481,0.690846264362335,0.688302159309387,0.68571013212204,0.682900726795197,0.680033147335052,0.676936805248261,0.673763513565063,0.67063444852829,0.668567895889282,0.612960040569305,0.610579371452332
128,Australia,0.266064018011093,0.251852691173553,0.240082710981369,0.228845298290253,0.217742934823036,0.207608491182327,0.199126094579697,0.191226840019226,0.188862308859825,0.162970915436745,0.158202767372131,0.152314960956573,0.147115811705589,0.145487785339355,0.146545171737671,0.14493802189827,0.143488243222237,0.137786626815796,0.133673593401909,0.128163650631905,0.130014449357986,0.125805765390396,0.121481776237488,0.11490636318922
130,Sierra Leone,,,,,,,,,,0.680930316448212,0.680297672748566,0.680667817592621,0.669391989707947,0.658958554267883,0.658139228820801,0.657206416130066,0.655334115028381,0.657941997051239,0.655413269996643,0.652986466884613,0.65057772397995,0.64999920129776,0.650038599967957,0.648523390293121
131,Singapore,0.23610582947731,0.23818202316761,0.236881732940674,0.236243352293968,0.235009178519249,0.232383847236633,0.232337355613709,0.244155928492546,0.254211246967316,0.270190298557281,0.276208758354187,0.198216289281845,0.193183198571205,0.160779997706413,0.149131044745445,0.13631971180439,0.110850848257542,0.0969633832573891,0.0940059199929237,0.09632558375597,0.0936800986528397,0.0958718582987785,0.0900781229138374,0.0891404524445534
133,Slovak Republic,,,,,,,,0.234402611851692,0.234531700611115,0.24320325255394,0.234458968043327,0.220068797469139,0.193592324852943,0.184165447950363,0.191899612545967,0.191811084747314,0.180231288075447,0.181753650307655,0.177598476409912,0.178777992725372,0.183949694037437,0.178238198161125,0.163791567087173,0.161846727132797
135,Slovenia,,,,,,,,0.173233076930046,0.171204194426537,0.168664112687111,0.147680923342705,0.133410304784775,0.130649551749229,0.13334883749485,0.135064855217934,0.136873081326485,0.130390748381615,0.124827183783054,0.102016165852547,0.0829028114676476,0.0713034048676491,0.0174690969288349,0.0116899842396379,0.0115280877798796
137,South Africa,0.61077493429184,0.568875312805176,0.542531371116638,0.522239685058594,0.505490601062775,0.490900933742523,0.480645805597305,0.471306800842285,0.46121022105217,0.456829875707626,0.45550999045372,0.453143954277039,0.452645927667618,0.452376753091812,0.447331786155701,0.444319248199463,0.43857678771019,0.43448206782341,0.431939661502838,0.411683022975922,0.407576501369476,0.40685898065567,0.404724627733231,0.402693331241608
139,Spain,0.210835382342339,0.194626867771149,0.177092760801315,0.165816321969032,0.154248043894768,0.144563809037209,0.13612075150013,0.127790614962578,0.130042970180511,0.13992865383625,0.12341221421957,0.128299832344055,0.12900997698307,0.130151480436325,0.117138795554638,0.118932411074638,0.118917107582092,0.118697792291641,0.114611998200417,0.109014265239239,0.104939743876457,0.102158315479755,0.0988886579871178,0.0953620597720146
141,Sri Lanka,0.46196037530899,0.464203596115112,0.465873867273331,0.469983249902725,0.473087430000305,0.473900467157364,0.471732437610626,0.468826413154602,0.451428055763245,0.460794419050217,0.458117723464966,0.457373023033142,0.456814855337143,0.451561212539673,0.437540709972382,0.4323590695858,0.41396826505661,0.401912242174149,0.395846039056778,0.388245224952698,0.392146110534668,0.379475444555283,0.37231770157814,0.368883639574051
143,Sudan,,,,,,,,0.711786985397339,0.70944619178772,0.697424232959747,0.687121450901031,0.678666114807129,0.676841974258423,0.673224031925201,0.669541776180267,0.647665858268738,0.635552883148193,0.630832135677338,0.626024901866913,0.618644773960114,0.598748922348022,0.595859408378601,0.591031551361084,0.586590230464935
146,Swaziland,0.668174564838409,0.667665064334869,0.667092978954315,0.666663229465485,0.666093349456787,0.665380775928497,0.66705048084259,0.668519735336304,0.669716060161591,0.671155452728271,0.672489821910858,0.672345876693726,0.672198474407196,0.616898059844971,0.616108179092407,0.615451335906982,0.610001742839813,0.604292511940002,0.586517035961151,0.58059549331665,0.573484599590302,0.568683385848999,0.563672065734863,0.597815871238709
148,Sweden,0.0929064601659775,0.0922672748565674,0.0913815647363663,0.0865316390991211,0.0816558822989464,0.0758334547281265,0.0697586238384247,0.0638453587889671,0.0631365701556206,0.0593908652663231,0.0582845024764538,0.0560994260013103,0.0527113936841488,0.0517985634505749,0.0506856814026833,0.0502305068075657,0.048495676368475,0.047974169254303,0.0489835441112518,0.0503194443881512,0.0530254729092121,0.0535742342472076,0.0540267303586006,0.0517915301024914
150,Switzerland,0.141718029975891,0.136552721261978,0.131636247038841,0.126500114798546,0.121688455343246,0.116632379591465,0.109985053539276,0.104816928505898,0.102739840745926,0.0969293192028999,0.0952471718192101,0.0919234603643417,0.0894747674465179,0.081784263253212,0.0791838765144348,0.0758873745799065,0.0729947313666344,0.0632993802428246,0.0555493012070656,0.0478309243917465,0.0416791848838329,0.0357976369559765,0.0275905374437571,0.024820227175951
152,Syrian Arab Republic,0.624853372573853,0.613969027996063,0.602400541305542,0.591936409473419,0.581356763839722,0.570706903934479,0.566714823246002,0.562271356582642,0.556813180446625,0.546924352645874,0.542596995830536,0.54192441701889,0.539997756481171,0.528921246528625,0.533115327358246,0.535991013050079,0.540403306484222,0.536485135555267,0.533056974411011,0.541991531848907,0.538358092308044,0.536415815353394,0.53595495223999,0.533678531646729
154,Tajikistan,,,,,,,,0.536937594413757,0.53024435043335,0.523366153240204,0.417435169219971,0.418837428092957,0.41008272767067,0.405417323112488,0.400278836488724,0.375257849693298,0.373004466295242,0.370703756809235,0.366225451231003,0.361717045307159,0.352104216814041,0.349290817975998,0.346404939889908,0.341659933328629
156,Tanzania,,,,,,,,0.639638960361481,0.636569261550903,0.636645972728729,0.625936150550842,0.616009831428528,0.612433731555939,0.610784530639648,0.606966197490692,0.585420072078705,0.581679046154022,0.578111052513123,0.573855459690094,0.568805813789368,0.55960077047348,0.552499294281006,0.549373626708984,0.546146273612976
158,Thailand,0.491751343011856,0.481859803199768,0.473153084516525,0.465086758136749,0.457857251167297,0.446961939334869,0.439049273729324,0.432328373193741,0.432570725679398,0.432246536016464,0.440667599439621,0.393690019845963,0.388237923383713,0.383796274662018,0.383240163326263,0.366270124912262,0.376331716775894,0.352714538574219,0.349393129348755,0.338838338851929,0.335207521915436,0.322483539581299,0.320659428834915,0.316854894161224
