,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
X.1,1979,1981,1983,1984,1985,1986,1987,1988,1989,1990,1991,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Average of institutions asked since 1979,48,40,41,44,46,45,47,44,46,41,36,38,36,38,39,39,41,41,41,42,41,42,43,39,38,33,32,34,32,33,32,32,30,31,31,34,33,32,36,32,27
